"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
347131,4,,4,,90,,3,,87,,4,,85,,3,,82,,78,,303,,23,,
347132,3,,3,,88,,3,,85,,3,,78,,2,,85,,80,,229,,21,,
347134,4,,5,,92,,4,,90,,4,,85,,4,,90,,83,,296,,31,,
347136,4,,4,,90,,3,,87,,4,,84,,4,,87,,84,,783,,26,,
347169,4,,4,,91,,4,,89,,4,,87,,4,,88,,84,,288,,31,,
347170,4,,4,,89,,4,,89,,4,,82,,4,,90,,82,,322,,21,,
347171,4,,4,,90,,3,,88,,4,,84,,3,,83,,81,,213,,26,,
347172,4,,5,,94,,3,,88,,4,,85,,4,,90,,90,,119,,31,,
347173,4,,4,,90,,3,,87,,4,,85,,4,,89,,81,,343,,27,,
347174,3,,4,,90,,3,,88,,3,,79,,3,,86,,79,,314,,25,,
347175,3,11,3,11,85,11,3,11,85,11,3,11,77,11,2,11,76,11,65,11,60,11,18,11,11
347177,3,,3,,88,,3,,86,,3,,80,,3,,83,,77,,357,,20,,
347178,3,,3,,89,,3,,86,,3,,74,,3,,84,,78,,319,,21,,
347179,4,,4,,92,,3,,84,,4,,83,,4,,89,,81,,405,,37,,
347181,5,,5,,93,,4,,90,,5,,90,,5,,90,,86,,309,,20,,
347185,3,,3,,88,,3,,86,,3,,74,,3,,86,,80,,283,,25,,
347186,Not Available,11,Not Available,11,91,11,Not Available,11,82,11,Not Available,11,80,11,Not Available,11,82,11,82,11,17,11,14,11,11
347187,5,,5,,93,,4,,89,,4,,83,,5,,92,,86,,357,,27,,
347190,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347191,4,,4,,92,,4,,92,,5,,91,,4,,91,,85,,131,,28,,
347192,3,,3,,88,,2,,80,,4,,83,,3,,82,,73,,306,,21,,
347195,4,,5,,92,,4,,89,,4,,87,,4,,88,,87,,268,,30,,
347196,Not Available,9,Not Available,9,60,9,Not Available,9,57,9,Not Available,9,83,9,Not Available,9,49,9,50,9,7,9,28,9,9
347202,4,,4,,89,,4,,88,,4,,85,,4,,90,,83,,199,,27,,
347204,Not Available,9,Not Available,9,96,9,Not Available,9,92,9,Not Available,9,89,9,Not Available,9,98,9,97,9,6,9,38,9,9
347206,3,,4,,89,,3,,85,,3,,78,,3,,88,,82,,307,,23,,
347210,5,,4,,92,,4,,93,,5,,89,,5,,92,,88,,244,,27,,
347211,4,,4,,90,,3,,88,,4,,85,,4,,87,,79,,388,,29,,
347212,4,,4,,91,,3,,85,,4,,81,,3,,86,,81,,162,,25,,
347215,4,,3,,86,,3,,83,,5,,89,,3,,78,,78,,100,,24,,
347217,4,,5,,93,,4,,90,,4,,86,,4,,87,,87,,170,,28,,
347218,4,,4,,91,,4,,90,,4,,87,,3,,87,,76,,75,,24,,
347219,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347220,4,,4,,90,,4,,88,,4,,84,,4,,88,,83,,206,,22,,
347223,4,,4,,92,,3,,85,,4,,86,,4,,87,,84,,368,,19,,
347224,3,,3,,88,,2,,81,,4,,82,,3,,86,,74,,249,,22,,
347225,4,,4,,90,,4,,89,,4,,82,,3,,83,,81,,337,,27,,
347226,4,,4,,90,,3,,86,,4,,87,,3,,87,,75,,129,,18,,
347227,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347230,4,,4,,90,,3,,88,,4,,82,,3,,86,,81,,278,,25,,
347231,3,,4,,89,,3,,85,,3,,80,,3,,87,,78,,162,,21,,
347232,2,11,3,11,86,11,1,11,75,11,3,11,78,11,1,11,67,11,68,11,51,11,17,11,11
347233,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,88,9,Not Available,9,100,9,100,9,1,9,20,9,9
347234,4,,4,,90,,3,,86,,3,,80,,4,,92,,79,,244,,21,,
347235,3,,3,,87,,3,,85,,3,,75,,3,,85,,80,,349,,21,,
347236,Not Available,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,93,11,Not Available,11,89,11,100,11,12,11,20,11,11
347237,4,,4,,90,,3,,83,,3,,78,,4,,88,,80,,362,,29,,
347239,4,11,5,11,94,11,3,11,86,11,3,11,80,11,5,11,92,11,85,11,66,11,23,11,11
347241,4,,4,,92,,4,,92,,4,,87,,3,,88,,86,,122,,22,,
347242,3,11,3,11,90,11,3,11,91,11,4,11,83,11,3,11,81,11,83,11,45,11,22,11,11
347243,3,,3,,85,,3,,84,,3,,80,,2,,81,,75,,312,,19,,
347244,3,,3,,87,,3,,87,,4,,84,,2,,79,,76,,90,,17,,
347245,4,11,5,11,92,11,3,11,85,11,4,11,84,11,3,11,80,11,78,11,50,11,18,11,11
347246,4,,4,,93,,3,,89,,4,,83,,5,,89,,89,,88,,28,,
347247,4,,4,,89,,3,,86,,4,,83,,3,,84,,77,,267,,28,,
347248,4,,4,,92,,3,,87,,4,,83,,3,,90,,78,,130,,19,,
347249,3,,3,,88,,3,,87,,4,,85,,3,,85,,79,,138,,26,,
347250,4,,4,,92,,4,,89,,4,,86,,4,,85,,84,,137,,26,,
347251,3,,3,,86,,2,,81,,3,,76,,2,,86,,76,,148,,20,,
347252,3,,3,,87,,3,,85,,4,,83,,2,,83,,68,,174,,20,,
347254,4,,4,,92,,4,,89,,5,,90,,4,,91,,88,,343,,23,,
347255,Not Available,11,Not Available,11,87,11,Not Available,11,82,11,Not Available,11,80,11,Not Available,11,84,11,68,11,21,11,22,11,11
347256,4,,4,,94,,5,,93,,4,,87,,4,,89,,87,,78,,22,,
