"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
037464,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037468,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037469,Not Available,11,Not Available,11,95,11,Not Available,11,83,11,Not Available,11,62,11,Not Available,11,77,11,72,11,25,11,19,11,11
037470,3,11,3,11,88,11,2,11,77,11,4,11,87,11,3,11,83,11,80,11,42,11,20,11,11
037471,Not Available,11,Not Available,11,75,11,Not Available,11,64,11,Not Available,11,75,11,Not Available,11,48,11,63,11,11,11,25,11,11
037472,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037473,Not Available,11,Not Available,11,85,11,Not Available,11,79,11,Not Available,11,73,11,Not Available,11,67,11,77,11,32,11,14,11,11
037474,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037475,1,,1,,80,,2,,77,,1,,63,,1,,70,,64,,144,,20,,
037476,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037477,3,,3,,89,,2,,82,,4,,82,,3,,87,,77,,101,,22,,
037478,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037479,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037480,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037481,1,,1,,75,,1,,68,,1,,61,,1,,69,,55,,142,,11,,
037482,3,11,3,11,85,11,3,11,83,11,2,11,71,11,2,11,77,11,65,11,68,11,25,11,11
037484,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037485,Not Available,11,Not Available,11,85,11,Not Available,11,77,11,Not Available,11,65,11,Not Available,11,62,11,64,11,34,11,29,11,11
037486,5,,5,,96,,5,,95,,5,,89,,5,,95,,92,,71,,39,,
037487,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037488,Not Available,9,Not Available,9,76,9,Not Available,9,76,9,Not Available,9,99,9,Not Available,9,51,9,52,9,2,9,5,9,9
037489,5,11,5,11,98,11,5,11,98,11,5,11,89,11,5,11,100,11,96,11,59,11,32,11,11
037492,3,,3,,86,,3,,84,,3,,74,,2,,77,,76,,296,,21,,
037493,4,,4,,89,,3,,85,,4,,83,,4,,86,,80,,74,,32,,
037494,3,,3,,88,,3,,83,,3,,79,,2,,81,,77,,408,,31,,
037496,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037497,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037498,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037499,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037500,4,,4,,93,,4,,88,,3,,80,,5,,93,,89,,81,,38,,
037501,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037502,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037802,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037803,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037804,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037805,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037806,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037807,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037808,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037809,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037810,2,11,1,11,77,11,2,11,79,11,2,11,70,11,1,11,78,11,65,11,46,11,13,11,11
037811,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037812,4,"10,11",5,"10,11",91,"10,11",2,"10,11",79,"10,11",5,"10,11",91,"10,11",4,"10,11",90,"10,11",81,"10,11",60,"10,11",25,"10,11","10,11"
037813,3,10,3,10,91,10,3,10,90,10,4,10,84,10,3,10,89,10,84,10,81,10,26,10,10
037814,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037815,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037816,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037817,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037818,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037819,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037820,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037821,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037822,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037824,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037825,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037826,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037827,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037828,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047001,3,,3,,87,,3,,85,,3,,75,,2,,77,,79,,139,,22,,
047004,5,,5,,93,,5,,94,,4,,82,,5,,93,,86,,101,,27,,
047006,4,,4,,90,,4,,89,,4,,84,,3,,89,,83,,251,,26,,
047009,4,,3,,89,,4,,88,,4,,82,,3,,85,,81,,94,,27,,
047010,4,,4,,90,,4,,90,,5,,88,,3,,85,,79,,230,,26,,
047011,4,,4,,90,,4,,89,,4,,83,,4,,92,,85,,158,,36,,
047016,3,,4,,89,,3,,87,,3,,80,,3,,82,,80,,285,,33,,
047020,4,,4,,92,,3,,87,,4,,85,,4,,87,,83,,317,,25,,
047021,4,,4,,90,,4,,89,,4,,86,,4,,87,,86,,206,,29,,
047024,5,,5,,93,,4,,91,,4,,84,,5,,97,,91,,130,,33,,
047025,4,11,4,11,93,11,4,11,92,11,3,11,80,11,5,11,92,11,89,11,63,11,26,11,11
047028,3,,3,,87,,3,,84,,4,,84,,3,,83,,80,,526,,22,,
047029,4,,4,,89,,4,,88,,3,,80,,3,,83,,80,,228,,20,,
047030,Not Available,9,Not Available,9,74,9,Not Available,9,72,9,Not Available,9,95,9,Not Available,9,58,9,35,9,10,9,40,9,9
047031,Not Available,11,Not Available,11,91,11,Not Available,11,88,11,Not Available,11,84,11,Not Available,11,80,11,89,11,32,11,31,11,11
047032,5,,5,,92,,5,,91,,4,,85,,4,,90,,88,,135,,27,,
047033,4,,4,,91,,3,,87,,4,,86,,4,,86,,82,,327,,23,,
047034,Not Available,11,Not Available,11,96,11,Not Available,11,95,11,Not Available,11,85,11,Not Available,11,90,11,93,11,21,11,24,11,11
047035,4,,4,,90,,4,,90,,4,,86,,4,,90,,80,,316,,27,,
047038,4,,4,,88,,3,,83,,4,,83,,3,,86,,82,,276,,23,,
047043,3,,3,,88,,3,,85,,4,,81,,3,,83,,78,,214,,26,,
047044,5,,5,,91,,4,,90,,4,,81,,5,,93,,85,,83,,23,,
047046,5,,5,,94,,4,,91,,5,,88,,5,,94,,92,,169,,32,,
047048,5,11,5,11,93,11,4,11,92,11,5,11,90,11,5,11,92,11,89,11,56,11,30,11,11
047052,4,,4,,91,,4,,89,,4,,87,,3,,83,,79,,98,,24,,
047056,4,,4,,94,,4,,90,,5,,89,,4,,93,,89,,79,,26,,
047057,4,,4,,88,,3,,86,,4,,85,,3,,85,,77,,183,,22,,
047070,3,,3,,87,,3,,83,,2,,71,,2,,81,,78,,109,,18,,
047080,4,,4,,92,,4,,90,,5,,89,,4,,90,,85,,337,,31,,
047081,5,,5,,100,,5,,96,,5,,93,,5,,99,,97,,84,,45,,
047082,5,,5,,93,,4,,88,,4,,82,,5,,95,,84,,81,,25,,
047083,5,,5,,94,,5,,92,,5,,91,,4,,91,,89,,173,,29,,
047087,5,,4,,93,,5,,92,,5,,89,,4,,91,,85,,142,,36,,
047088,Not Available,11,Not Available,11,91,11,Not Available,11,87,11,Not Available,11,85,11,Not Available,11,87,11,80,11,38,11,24,11,11
047090,4,,4,,91,,3,,86,,4,,85,,4,,89,,81,,467,,23,,
047093,4,,4,,91,,4,,90,,4,,82,,4,,86,,83,,517,,25,,
047096,3,,3,,88,,3,,85,,3,,80,,4,,85,,81,,74,,31,,
047097,4,,5,,93,,4,,91,,4,,87,,4,,91,,90,,147,,35,,
047099,3,,3,,88,,3,,86,,3,,78,,2,,78,,72,,94,,19,,
047102,4,,4,,90,,4,,90,,4,,86,,3,,83,,82,,142,,20,,
047104,4,,4,,92,,3,,89,,5,,91,,4,,89,,83,,70,,22,,
047105,4,,5,,92,,4,,89,,4,,86,,4,,89,,83,,285,,24,,
047108,4,,4,,91,,4,,89,,5,,90,,4,,89,,83,,169,,27,,
047109,4,,4,,91,,4,,88,,5,,90,,4,,90,,79,,104,,25,,
047114,Not Available,11,Not Available,11,85,11,Not Available,11,74,11,Not Available,11,82,11,Not Available,11,80,11,59,11,18,11,20,11,11
047115,4,,4,,92,,4,,89,,5,,88,,4,,89,,84,,511,,31,,
047116,Not Available,11,Not Available,11,90,11,Not Available,11,92,11,Not Available,11,75,11,Not Available,11,90,11,82,11,36,11,29,11,11
047117,3,,3,,88,,3,,86,,3,,79,,3,,84,,76,,303,,21,,
047118,4,11,4,11,91,11,4,11,90,11,4,11,81,11,5,11,90,11,85,11,67,11,30,11,11
047122,4,,4,,91,,3,,88,,4,,86,,4,,87,,83,,143,,22,,
047127,5,11,4,11,93,11,4,11,90,11,5,11,89,11,5,11,93,11,88,11,52,11,19,11,11
047128,5,,5,,93,,4,,91,,5,,91,,5,,94,,85,,233,,25,,
047133,4,,4,,92,,4,,90,,5,,90,,4,,93,,88,,333,,33,,
047134,4,,4,,90,,4,,89,,4,,84,,4,,87,,87,,223,,30,,
047135,Not Available,11,Not Available,11,90,11,Not Available,11,90,11,Not Available,11,88,11,Not Available,11,93,11,82,11,39,11,27,11,11
047138,4,,4,,90,,3,,87,,4,,83,,4,,87,,82,,529,,28,,
047139,5,,4,,91,,5,,91,,4,,84,,5,,94,,89,,92,,32,,
047140,5,11,4,11,92,11,5,11,93,11,4,11,86,11,5,11,98,11,93,11,66,11,28,11,11
047145,3,,3,,88,,3,,86,,4,,83,,3,,84,,80,,274,,25,,
047147,3,,4,,90,,3,,86,,3,,75,,3,,81,,81,,74,,21,,
047148,5,,5,,93,,5,,92,,5,,89,,5,,94,,91,,131,,31,,
047149,4,,5,,92,,3,,88,,4,,85,,4,,90,,87,,314,,33,,
047151,3,,3,,88,,3,,87,,4,,85,,3,,85,,81,,514,,24,,
047153,5,11,5,11,94,11,4,11,91,11,4,11,83,11,5,11,96,11,84,11,59,11,38,11,11
047156,3,11,4,11,91,11,2,11,85,11,4,11,81,11,1,11,77,11,76,11,43,11,35,11,11
047162,Not Available,11,Not Available,11,90,11,Not Available,11,92,11,Not Available,11,90,11,Not Available,11,94,11,92,11,27,11,45,11,11
047167,5,,5,,93,,4,,90,,5,,88,,4,,91,,89,,109,,31,,
047168,3,,2,,86,,2,,84,,4,,83,,3,,82,,75,,192,,26,,
047169,4,,5,,94,,4,,90,,4,,87,,4,,89,,85,,121,,23,,
047170,3,,3,,88,,3,,86,,3,,80,,3,,87,,80,,185,,24,,
047172,4,,5,,93,,3,,87,,4,,84,,4,,88,,89,,136,,26,,
047173,4,,3,,88,,3,,87,,5,,88,,4,,88,,87,,125,,27,,
047174,4,,4,,89,,3,,86,,4,,83,,3,,86,,82,,99,,25,,
047175,5,,5,,93,,5,,90,,5,,92,,5,,89,,87,,90,,34,,
047176,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047178,4,,4,,92,,3,,87,,4,,82,,4,,92,,86,,145,,23,,
047179,3,11,3,11,90,11,3,11,90,11,3,11,78,11,3,11,90,11,76,11,63,11,21,11,11
047180,Not Available,11,Not Available,11,99,11,Not Available,11,96,11,Not Available,11,87,11,Not Available,11,96,11,89,11,24,11,17,11,11
047181,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047306,Not Available,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,93,11,Not Available,11,95,11,83,11,13,11,25,11,11
047326,5,,4,,90,,4,,89,,5,,94,,5,,94,,87,,72,,24,,
047338,4,,4,,88,,4,,89,,5,,88,,3,,84,,85,,72,,25,,
047339,4,,4,,89,,3,,87,,4,,86,,3,,83,,81,,356,,31,,
047346,4,,4,,91,,4,,89,,5,,88,,3,,86,,84,,389,,29,,
047803,5,,5,,93,,4,,88,,4,,87,,5,,93,,84,,125,,34,,
047818,3,,3,,89,,3,,90,,3,,75,,2,,85,,89,,86,,23,,
047823,4,,4,,91,,4,,90,,4,,87,,4,,92,,86,,139,,21,,
047824,4,,4,,92,,4,,90,,3,,75,,3,,87,,90,,105,,24,,
047838,4,11,4,11,91,11,4,11,89,11,5,11,88,11,4,11,91,11,84,11,62,11,25,11,11
047840,3,11,2,11,85,11,2,11,84,11,4,11,84,11,4,11,85,11,68,11,53,11,18,11,11
047844,4,,4,,89,,4,,89,,4,,86,,3,,86,,81,,130,,22,,
047850,4,,4,,91,,4,,91,,3,,79,,4,,90,,82,,99,,26,,
047853,2,,1,,83,,2,,82,,3,,77,,2,,85,,77,,107,,17,,
047855,4,,4,,90,,3,,86,,4,,85,,4,,90,,84,,95,,30,,
047870,4,,4,,92,,3,,88,,4,,83,,3,,89,,84,,72,,23,,
053100,Not Available,11,Not Available,11,84,11,Not Available,11,74,11,Not Available,11,71,11,Not Available,11,79,11,54,11,33,11,35,11,11
053101,Not Available,11,Not Available,11,82,11,Not Available,11,74,11,Not Available,11,74,11,Not Available,11,74,11,69,11,38,11,33,11,11
053102,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053103,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053105,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053106,Not Available,9,Not Available,9,66,9,Not Available,9,67,9,Not Available,9,57,9,Not Available,9,74,9,74,9,10,9,20,9,9
053107,Not Available,11,Not Available,11,93,11,Not Available,11,98,11,Not Available,11,99,11,Not Available,11,100,11,100,11,13,11,8,11,11
053108,Not Available,11,Not Available,11,85,11,Not Available,11,76,11,Not Available,11,84,11,Not Available,11,70,11,60,11,33,11,27,11,11
053109,Not Available,11,Not Available,11,87,11,Not Available,11,93,11,Not Available,11,85,11,Not Available,11,78,11,71,11,16,11,29,11,11
053110,Not Available,11,Not Available,11,79,11,Not Available,11,76,11,Not Available,11,85,11,Not Available,11,89,11,67,11,22,11,10,11,11
053113,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053114,Not Available,9,Not Available,9,89,9,Not Available,9,89,9,Not Available,9,92,9,Not Available,9,86,9,86,9,7,9,16,9,9
053115,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053116,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053117,Not Available,11,Not Available,11,74,11,Not Available,11,68,11,Not Available,11,84,11,Not Available,11,45,11,36,11,13,11,23,11,11
053119,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053120,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053122,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053123,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053124,2,,1,,83,,2,,81,,3,,79,,1,,78,,71,,211,,22,,
053125,Not Available,11,Not Available,11,99,11,Not Available,11,99,11,Not Available,11,100,11,Not Available,11,89,11,88,11,32,11,18,11,11
053126,Not Available,11,Not Available,11,90,11,Not Available,11,94,11,Not Available,11,99,11,Not Available,11,88,11,93,11,11,11,14,11,11
053127,Not Available,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,89,11,Not Available,11,79,11,67,11,12,11,14,11,11
053128,Not Available,9,Not Available,9,97,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,100,9,100,9,6,9,9,9,9
053129,3,,3,,88,,2,,83,,3,,73,,2,,80,,73,,215,,20,,
053130,Not Available,9,Not Available,9,60,9,Not Available,9,65,9,Not Available,9,84,9,Not Available,9,42,9,42,9,8,9,7,9,9
053132,Not Available,9,Not Available,9,82,9,Not Available,9,72,9,Not Available,9,81,9,Not Available,9,79,9,79,9,7,9,8,9,9
053133,Not Available,11,Not Available,11,78,11,Not Available,11,82,11,Not Available,11,94,11,Not Available,11,75,11,60,11,38,11,15,11,11
053134,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
